"85866A65-A401-143F-E053-6B04A8C06A15","750000","2019-03-13","BD20 7BL","O","N","F","","WOOD VALE FARM","ELLERS ROAD","SUTTON IN CRAVEN","KEIGHLEY","CRAVEN","NORTH YORKSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/85866A65-A401-143F-E053-6B04A8C06A15/current"
"F87E72F9-4DA0-176C-E053-6B04A8C0D2BE","195000","2023-02-24","BD20 7BN","T","N","F","","8","CRYER ROW","SUTTON IN CRAVEN","KEIGHLEY","CRAVEN","NORTH YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/F87E72F9-4DA0-176C-E053-6B04A8C0D2BE/current"
"F16F63C5-FD93-0491-E053-6C04A8C032ED","167950","2022-09-16","BD20 7BP","D","N","F","","8","BARING SQUARE","SUTTON IN CRAVEN","KEIGHLEY","CRAVEN","NORTH YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/F16F63C5-FD93-0491-E053-6C04A8C032ED/current"
"8355F009-5154-55C5-E053-6B04A8C0D090","302000","2019-01-31","BD20 7BS","T","N","F","","5","JACKSON PLACE","SUTTON IN CRAVEN","KEIGHLEY","CRAVEN","NORTH YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8355F009-5154-55C5-E053-6B04A8C0D090/current"
"EED73E75-FEEC-6AF3-E053-6C04A8C08ABA","167500","2022-06-10","BD20 7BT","T","N","F","","6","ETHEL STREET","SUTTON IN CRAVEN","KEIGHLEY","CRAVEN","NORTH YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/EED73E75-FEEC-6AF3-E053-6C04A8C08ABA/current"
"CFC9085D-6A1A-9A70-E053-6B04A8C09D6A","285000","2021-03-05","BD20 7BW","O","N","F","UNIT 10 THE CROSSINGS","RIPARIAN COURT","RIPARIAN WAY","CROSS HILLS","KEIGHLEY","CRAVEN","NORTH YORKSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/CFC9085D-6A1A-9A70-E053-6B04A8C09D6A/current"
"F3B6C199-488E-6E40-E053-6C04A8C0B3B4","318000","2021-06-07","BD20 7BW","O","N","F","UNIT 12 THE CROSSINGS","RIPARIAN COURT","RIPARIAN WAY","CROSS HILLS","KEIGHLEY","CRAVEN","NORTH YORKSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/F3B6C199-488E-6E40-E053-6C04A8C0B3B4/current"
"CFC9085D-6A26-9A70-E053-6B04A8C09D6A","265000","2021-06-11","BD20 7BW","O","N","F","UNIT 13 THE CROSSINGS","RIPARIAN COURT","RIPARIAN WAY","CROSS HILLS","KEIGHLEY","CRAVEN","NORTH YORKSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/CFC9085D-6A26-9A70-E053-6B04A8C09D6A/current"
"CFC9085D-6A27-9A70-E053-6B04A8C09D6A","265000","2021-06-11","BD20 7BW","O","N","F","UNIT 14 THE CROSSINGS","RIPARIAN COURT","RIPARIAN WAY","CROSS HILLS","KEIGHLEY","CRAVEN","NORTH YORKSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/CFC9085D-6A27-9A70-E053-6B04A8C09D6A/current"
"CFC9085D-6A2D-9A70-E053-6B04A8C09D6A","265000","2021-07-14","BD20 7BW","O","N","F","UNIT 15 THE CROSSINGS","RIPARIAN COURT","RIPARIAN WAY","CROSS HILLS","KEIGHLEY","CRAVEN","NORTH YORKSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/CFC9085D-6A2D-9A70-E053-6B04A8C09D6A/current"
"CFC9085D-6A2E-9A70-E053-6B04A8C09D6A","265000","2021-07-14","BD20 7BW","O","N","F","UNIT 16 THE CROSSINGS","RIPARIAN COURT","RIPARIAN WAY","CROSS HILLS","KEIGHLEY","CRAVEN","NORTH YORKSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/CFC9085D-6A2E-9A70-E053-6B04A8C09D6A/current"
